what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1598075425576
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1598075425579
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1598075425580
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1598075425581
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1598075425581
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1598075425586
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1598075425594
os,sysinfo,,,"win32",1598075425627
arch,sysinfo,,,"x86_64",1598075425627
ws,sysinfo,,,"win32",1598075425627
locale,sysinfo,,,"en_US",1598075425627
processors,sysinfo,,,"4",1598075425627
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1598075425627
java.runtime.version,sysinfo,,,"1.8.0_251-b08",1598075425627
java.specification.name,sysinfo,,,"Java Platform API Specification",1598075425627
java.specification.vendor,sysinfo,,,"Oracle Corporation",1598075425627
java.specification.version,sysinfo,,,"1.8",1598075425627
java.vendor,sysinfo,,,"Oracle Corporation",1598075425627
java.version,sysinfo,,,"1.8.0_251",1598075425627
java.vm.info,sysinfo,,,"mixed mode",1598075425627
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1598075425627
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1598075425627
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1598075425627
java.vm.specification.version,sysinfo,,,"1.8",1598075425627
java.vm.vendor,sysinfo,,,"Oracle Corporation",1598075425627
java.vm.version,sysinfo,,,"25.251-b08",1598075425627
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1598075427908
